game_id,game_date,game_opponent,game_type
0091,10-2008-28,POR,home
0092,10-2008-29,LAC,away
0093,11-2008-01,DEN,away
0094,11-2008-05,LAC,home
0095,11-2008-09,HOU,home
0096,11-2008-11,DAL,away
0097,11-2008-14,DET,home
0098,11-2008-18,CHI,home
0099,11-2008-20,PHX,away
00910,11-2008-21,DEN,home
00911,11-2008-23,SAC,home
00912,11-2008-25,NJN,home
00913,11-2008-28,DAL,home
00914,11-2008-30,TOR,home
00915,12-2008-02,IND,away
00916,12-2008-03,PHI,away
00917,12-2008-05,WAS,away
00918,12-2008-07,MIL,home
00919,12-2008-09,SAC,away
00920,12-2008-10,PHX,home
00921,12-2008-12,SAC,home
00922,12-2008-14,MIN,home
00923,12-2008-16,NYK,home
00924,12-2008-19,MIA,away
00925,12-2008-20,ORL,away
00926,12-2008-22,MEM,away
00927,12-2008-23,NOH,away
00928,12-2008-25,BOS,home
00929,01-2009-02,UTA,home
00930,01-2009-04,POR,home
00931,01-2009-06,NOH,home
00932,01-2009-07,GSW,away
00933,01-2009-09,IND,home
00934,01-2009-11,MIA,home
00935,01-2009-13,HOU,away
00936,01-2009-14,SAS,away
00937,01-2009-16,ORL,home
00938,01-2009-19,CLE,home
00939,01-2009-21,LAC,away
00940,01-2009-22,WAS,home
00941,01-2009-25,SAS,home
00942,01-2009-30,MIN,away
00943,01-2009-31,MEM,away
00944,02-2009-02,NYK,away
00945,02-2009-04,TOR,away
00946,02-2009-05,BOS,away
00947,02-2009-08,CLE,away
00948,02-2009-10,OKC,home
00949,02-2009-17,ATL,home
00950,02-2009-18,GSW,away
00951,02-2009-20,NOH,home
00952,02-2009-22,MIN,away
00953,02-2009-24,OKC,away
00954,02-2009-26,PHX,home
00955,02-2009-27,DEN,away
00956,03-2009-01,PHX,away
00957,03-2009-03,MEM,home
00958,03-2009-06,MIN,home
00959,03-2009-09,POR,away
00960,03-2009-11,HOU,away
00961,03-2009-12,SAS,away
00962,03-2009-15,DAL,home
00963,03-2009-17,PHI,home
00964,03-2009-19,GSW,home
00965,03-2009-21,CHI,away
00966,03-2009-24,OKC,away
00967,03-2009-26,DET,away
00968,03-2009-27,NJN,away
00969,03-2009-29,ATL,away
00970,03-2009-31,CHA,away
00971,04-2009-01,MIL,away
00972,04-2009-03,HOU,home
00973,04-2009-05,LAC,home
00974,04-2009-07,SAC,away
00975,04-2009-09,DEN,home
00976,04-2009-10,POR,away
00977,04-2009-12,MEM,home
00978,04-2009-14,UTA,home
