game_id,lakers_ft,lakers_rb,lakers_to
00929,25,56,14
00930,22,48,13
00931,37,52,12
00932,17,51,17
00933,30,43,13
00934,14,44,10
00935,8,47,12
00936,21,40,12
00937,34,68,16
00938,19,48,14
00939,17,33,11
00940,20,41,15
00941,16,45,14
00942,37,52,9
00943,21,42,23
00944,33,45,13
00945,19,46,9
00946,20,61,16
00947,19,53,9
00948,25,55,14
00949,28,47,15
00950,19,44,15
00951,19,55,15
00952,19,46,20
00953,29,52,17
00954,25,50,19
00955,26,52,17
00956,42,49,15
00957,19,51,19
00958,32,65,11
00959,28,51,10
00960,15,42,23
00961,16,40,18
00962,30,52,13
00963,18,48,10
00964,19,46,16
00965,29,53,23
00966,21,49,19
00967,19,47,15
00968,17,54,22
00969,13,56,14
00970,22,50,18
00971,9,49,17
00972,22,53,20
00973,27,62,16
00974,17,51,13
00975,29,48,13
00976,37,62,7
00977,19,46,19
00978,47,48,16
0091,14,51,14
0092,23,41,18
0093,30,49,19
0094,15,54,19
0095,19,44,20
0096,28,61,22
0097,34,50,19
0098,29,63,22
0099,15,55,15
00910,20,48,15
00911,13,37,16
00912,33,60,12
00913,9,39,14
00914,26,43,13
00915,21,51,13
00916,20,41,12
00917,25,56,17
00918,26,50,19
00919,23,54,11
00920,18,47,15
00921,32,50,16
00922,24,56,17
00923,28,43,14
00924,24,46,19
00925,39,53,15
00926,20,40,17
00927,22,50,16
00928,8,46,18
